	# GEO Accession	Sample Name	Experiment	NA Accession	Center	SRA Run Selector	GEO FTP	Embargo end date	SRR	modus
10	GSM429321	H1 cell line	Bisulfite-Seq	NA000020912.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006239	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429321/suppl/	2010-07-13	SRR020272	SINGLE
10	GSM429321	H1 cell line	Bisulfite-Seq	NA000020912.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006239	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429321/suppl/	2010-07-13	SRR020273	SINGLE
10	GSM429321	H1 cell line	Bisulfite-Seq	NA000020912.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006239	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429321/suppl/	2010-07-13	SRR020274	SINGLE
10	GSM429321	H1 cell line	Bisulfite-Seq	NA000020912.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006239	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429321/suppl/	2010-07-13	SRR020275	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018975	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018976	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018977	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018978	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018979	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018980	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018981	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018982	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018983	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018984	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018985	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018986	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018987	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR018988	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019015	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019016	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019017	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019018	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019019	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019020	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019021	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019048	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019049	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019050	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019051	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019052	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019053	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019054	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019073	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019074	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019075	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019076	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019077	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019078	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019079	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019087	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019109	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019110	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019111	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019112	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019113	SINGLE
11	GSM429322	H1 cell line	Bisulfite-Seq	NA000020914.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006240	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429322/suppl/	2010-07-13	SRR019114	SINGLE
12	GSM429323	H1 cell line	Bisulfite-Seq	NA000020916.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006241	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429323/suppl/	2010-07-13	SRR019055	SINGLE
12	GSM429323	H1 cell line	Bisulfite-Seq	NA000020916.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006241	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM429nnn/GSM429323/suppl/	2010-07-13	SRR019071	SINGLE
13	GSM432392	H1 cell line	H3K4me3	NA000020918.1	UCSF-UBC	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006798	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432392/suppl/	2010-05-03	SRR019222	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019473	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019474	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019475	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019476	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019477	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019478	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019479	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019480	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019481	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019482	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019483	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019484	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019485	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019486	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019487	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019488	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019489	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019490	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019491	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019492	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019493	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019494	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019495	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019496	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019497	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019498	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019499	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019500	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019501	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019502	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019503	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019504	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019505	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019506	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019507	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019508	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019509	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019510	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019511	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019512	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019513	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019514	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019515	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019516	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019517	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019518	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019519	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019520	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019521	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019522	SINGLE
14	GSM432685	H1 cell line	Bisulfite-Seq	NA000020920.1	UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX006789	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM432nnn/GSM432685/suppl/	2010-07-13	SRR019523	SINGLE
